,Overall EITI Report Info,,,,,,,,,EITI Report Coverage of Breakdowns,,,,,,,
Report ID,Period Covered,Country,Region,Publication Date,Sector,Government Revenues (US$),Company Payments (US$),Number of Companies Reporting,Link to Report,By Company,By Commodity,By Revenue Stream,By Rev Stream & Commodity,By Rev Stream & Company,By Project,Is there an SOC?,Are Contracts Disclosed?
Cameroon2002,2002.0,Cameroon,Africa,October 2006,Oil,338323283.5616438,49056250.0,4.0,http://eiti.org/files/Cameroon%202001-2002-2003-2004%20EITI%20Report_0.pdf,,,x,,,,yes,no
Cameroon2003,2003.0,Cameroon,Africa,October 2006,Oil,753768010.0,120983440.0,4.0,http://eiti.org/files/Cameroon%202001-2002-2003-2004%20EITI%20Report_0.pdf,,,x,,,,yes,no
Cameroon2004,2004.0,Cameroon,Africa,October 2006,Oil,954798250.0,172493250.0,4.0,http://eiti.org/files/Cameroon%202001-2002-2003-2004%20EITI%20Report_0.pdf,,,x,,,,yes,no
Cameroon2005,2005.0,Cameroon,Africa,February 2007,Oil,1188024922.5,204854380.0,10.0,http://eiti.org/files/Cameroon-2005-EITI-Report.pdf,,,x,,,,yes,no
Cameroon2006,2006.0,Cameroon,Africa,June 2010,"Oil, Mining",1599006845.61875,238822368.0,10.0,http://eiti.org/files/Cameroon-2006-2007-2008-EITI-Report_1.pdf,,,x,,,,yes,no
Cameroon2007,2007.0,Cameroon,Africa,June 2010,"Oil, Mining",1803241787.7304473,302485747.049195,10.0,http://eiti.org/files/Cameroon-2006-2007-2008-EITI-Report_1.pdf,,,x,,,,yes,no
Cameroon2008,2008.0,Cameroon,Africa,June 2010,"Oil, Mining",2362223467.224865,370036064.80442196,10.0,http://eiti.org/files/Cameroon-2006-2007-2008-EITI-Report_1.pdf,,,x,,,,yes,no
Cameroon2009,2009.0,Cameroon,Africa,April 2013,"Oil, Mining",3501213151.7658243,1237959455.9556208,20.0,https://eiti.org/files/Cameroon-2009-EITI-Report-French.pdf,,,,,,,,
Cameroon2010,2010.0,Cameroon,Africa,April 2013,"Oil, Mining",3676246858.7772026,1056689895.4541755,20.0,https://eiti.org/files/Cameroon-2010-EITI-Report-French.pdf,,,,,,,,
Cameroon2011,2011.0,Cameroon,Africa,August 2013,"Oil, Gas, Mining",1566015122.0,1565907028.0,22.0,https://eiti.org/files/Cameroon-2011-EITI-Report-English.pdf,x,,x,,x,,yes,no
Cameroon2012,2012.0,Cameroon,Africa,December 2014,"Oil, Gas, Mining",1529320794.4,1527058697.25,22.0,https://eiti.org/files/Rapport%20-%20Conciliation%20ITIE%20Cameroon%202012%20Final_0.pdf,x,,x,,,,,no
CentralAfricanRepublic2006,2006.0,Central African Republic,Africa,February 2009,Mining,10973706.76241657,10087128.76130735,17.0,https://eiti.org/files/Central%20African%20Republic%202006%20EITI%20Report.pdf,x,,x,,,,,
CentralAfricanRepublic2007,2007.0,Central African Republic,Africa,July 2010,Mining,3520131.524008351,3732496.8684759918,9.0,https://eiti.org/files/Central%20African%20Republic%202007-2009%20EITI%20Report_1.pdf,x,,x,,,,,
CentralAfricanRepublic2008,2008.0,Central African Republic,Africa,July 2010,Mining,4042178.5714285714,4091267.8571428573,9.0,https://eiti.org/files/Central%20African%20Republic%202007-2009%20EITI%20Report_1.pdf,x,,x,,,,,
CentralAfricanRepublic2009,2009.0,Central African Republic,Africa,July 2010,Mining,6056423.72881356,6254457.627118644,9.0,https://eiti.org/files/Central%20African%20Republic%202007-2009%20EITI%20Report_1.pdf,x,,x,,,,,
