country,2010.0,2013.0
Brazil,97.0,79.93838879264666
Norway,96.4,98.01748329650655
Russia,89.7,55.53664906587535
Mexico,83.4,76.53111620632701
Chile,80.6,75.18085549169885
Colombia,79.6,74.13508737670753
Kazakhstan,77.5,57.362887635782535
Peru,76.8,72.81614746146244
Azerbaijan,75.1,48.0928534235472
Ecuador,73.6,58.161726438221336
United States,71.4,42
Timor-Leste,70.5,67.74885443037039
Iraq,63.8,46.87279860128402
Venezuela,63.0,55.97423107114876
Trinidad and Tobago,61.9,73.80150848907017
Yemen,60.5,43.154597212929545
Liberia,60.5,61.60087488131747
South Africa,58.0,55.54606206222219
Bolivia,56.3,53.42817036103944
Papua New Guinea,51.1,43.04790960425045
Indonesia,50.0,65.75613299452954
Malaysia,48.4,45.817659775943994
Nigeria,46.5,42.48870617532822
Botswana,46.3,46.767430696871045
China,42.2,43.379103996937005
Gabon,41.8,45.96403610620175
Cameroon,41.8,34.15529702803477
Zambia,41.2,60.803011070373614
Sierra Leone,38.2,45.714033330666766
Mongolia,38.2,50.952530108834466
Sudan,37.4,42
Iran,36.1,27.96995897565474
Angola,34.7,42.048886952000956
Saudi Arabia,32.4,33.81286793317562
Ghana,32.3,62.72326419396098
Kuwait,29.8,41.08561966071333
Tanzania,27.8,49.76411277929171
Algeria,22.8,38.40266723785114
DRC,22.5,42
Equatorial Guinea,11.6,12.515609743116736
Turkmenistan,9.7,4.771331432269397
average,51.8,42
