MEASURE,,,US Dollars at current prices and current exchange rates in millions,,,,,,,,,,Percentage of total trade in goods and services,,,,,,,,
FLOW,,,Exports,,,,Imports,,,Balance,,,Exports,,,Imports,,,Balance,,
SERIES,,,Total trade in services ,Total trade in goods and services,Total trade in goods and services (US$),Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods
YEAR,ECONOMY,Lookup,,,,,,,,,,,,,,,,,,,
1999,Sierra Leone,1999_Sierra Leone,22.342,28.632,28632000.0,6.29,100.912,187.708,86.796,-78.57,-159.076,-80.506,78.0315730651,100.0,21.9684269349,53.7600954674,100.0,46.2399045326,..,..,..
1999,Timor-Leste,1999_Timor-Leste,_,..,..,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
1999,Togo,1999_Togo,68.421,459.896,459896000.0,391.475,130.583,620.01,489.427,-62.162,-160.114,-97.952,14.8774940421,100.0,85.1225059579,21.061434493,100.0,78.938565507,..,..,..
1999,Trinidad and Tobago,1999_Trinidad and Tobago,603.2,3419.0,3419000000.0,2815.8,274.0,3026.2,2752.2,329.2,392.8,63.6,17.6425855513,100.0,82.3574144487,9.0542594673,100.0,90.9457405327,..,..,..
1999,Tanzania,1999_Tanzania,600.301,1201.801,1201801000.0,601.5,795.001,2210.401,1415.4,-194.7,-1008.6,-813.9,49.9501165334,100.0,50.0498834666,35.966369903,100.0,64.033630097,..,..,..
1999,Yemen,1999_Yemen,183.2,2661.5,2661500000.0,2478.3,718.655,2839.125,2120.47,-535.455,-177.625,357.83,6.8833364644,100.0,93.1166635356,25.3125522828,100.0,74.6874477172,..,..,..
1999,Zambia,1999_Zambia,106.6,878.6,878600000.0,772.0,305.8,1175.8,870.0,-199.2,-297.2,-98.0,12.1329387662,100.0,87.8670612338,26.0078244599,100.0,73.9921755401,..,..,..
2000,Afghanistan,2000_Afghanistan,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..
2000,Albania,2000_Albania,447.8,703.5,703500000.0,255.7,429.3,1499.3,1070.0,18.5,-795.8,-814.3,63.6531627576,100.0,36.3468372424,28.6333622357,100.0,71.3666377643,..,..,..
2000,Azerbaijan,2000_Azerbaijan,259.768,2118.098,2118098000.0,1858.33,484.509,2023.509,1539.0,-224.741,94.589,319.33,12.2642106267,100.0,87.7357893733,23.9440002491,100.0,76.0559997509,..,..,..
2000,Burkina Faso,2000_Burkina Faso,31.368,236.993,236993000.0,205.625,139.873,657.587,517.714,-108.505,-420.594,-312.089,13.2358339698,100.0,86.7641660302,21.2706455572,100.0,78.7293544428,..,..,..
2000, Cameroon,2000_ Cameroon,681.859,2667.699,2667699000.0,1985.84,1017.49,2501.43,1483.94,-335.631,166.269,501.9,25.5598176556,100.0,74.4401823444,40.6763331374,100.0,59.3236668626,..,..,..
2000,Central African Republic,2000_Central African Republic,30.59232333,191.29156033,191291560.33,160.699237,114.28615571,231.27043571,116.98428,-83.69383238,-39.97887538,43.714957,15.9925107397,100.0,84.0074892603,49.4166733241,100.0,50.5833266759,..,..,..
2000, Chad,2000_ Chad,51.31071833,234.17221933,234172219.32999998,182.861501,241.32274121,480.71704621,239.394305,-190.01202288,-246.54482688,-56.532804,21.9115309565,100.0,78.0884690435,50.2005791375,100.0,49.7994208625,..,..,..
2000,Republic of the Congo,2000_Republic of the Congo,136.512,2628.302,2628302000.0,2491.79,738.334,1193.61,455.276,-601.822,1434.692,2036.514,5.1939236815,100.0,94.8060763185,61.8572230461,100.0,38.1427769539,..,..,..
2000,Democratic Republic of Congo,2000_Democratic Republic of Congo,62.10815765,868.7442713,868744271.3000001,806.63611365,214.94042163,897.74518789,682.80476626,-152.83226398,-29.00091659,123.83134739,7.149187592,100.0,92.850812408,23.942252716,100.0,76.057747284,..,..,..
2000, Equatorial Guinea,2000_ Equatorial Guinea,9.375316,1257.511489,1257511489.0,1248.136173,551.639381,1011.036889,459.397508,-542.264065,246.4746,788.738665,0.7455451566,100.0,99.2544548434,54.5617461639,100.0,45.4382538361,..,..,..
2000, Gabon,2000_ Gabon,177.83,3498.46,3498460000.0,3320.63,857.599,1655.659,798.06,-679.769,1842.801,2522.57,5.0830937041,100.0,94.9169062959,51.7980453705,100.0,48.2019546295,..,..,..
2000,Ghana,2000_Ghana,504.273,2440.593,2440593000.0,1936.32,583.663,3350.223,2766.56,-79.39,-909.63,-830.24,20.6619047092,100.0,79.3380952908,17.4216164118,100.0,82.5783835882,..,..,..
2000,Guatemala,2000_Guatemala,777.0,3862.1,3862100000.0,3085.1,825.4,5567.4,4742.0,-48.4,-1705.3,-1656.9,20.1185883328,100.0,79.8814116672,14.8255918382,100.0,85.1744081618,..,..,..
2000, Guinea,2000_ Guinea,67.964,734.304,734304000.0,666.34,284.91,871.97,587.06,-216.946,-137.666,79.28,9.2555671765,100.0,90.7444328235,32.6742892531,100.0,67.3257107469,..,..,..
2000,Indonesia,2000_Indonesia,_,..,..,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
2000,Iraq,2000_Iraq,-,..,..,18742.6,-,-,11008.6,-,-,7734.0,-,-,99.2333513348,-,-,85.439319503,..,..,..
2000,Kazakhstan,2000_Kazakhstan,1053.0,10341.1,10341100000.0,9288.1,1850.03,8969.76,7119.73,-797.03,1371.34,2168.37,10.1826691551,100.0,89.8173308449,20.6251895257,100.0,79.3748104743,..,..,..
2000,Kyrgyzstan,2000_Kyrgyzstan,62.038,572.96,572960000.0,510.922,148.176,654.392,506.216,-86.138,-81.432,4.706,10.8276319464,100.0,89.1723680536,22.6433085979,100.0,77.3566914021,..,..,..
2000,Liberia,2000_Liberia,-,..,..,-,-,-,146.0,-,-,-,-,-,-,-,-,52.8164774341,..,..,..
2000,Madagascar,2000_Madagascar,364.094,1187.836,1187836000.0,823.742,522.061,1519.512,997.451,-157.967,-331.676,-173.709,30.6518745012,100.0,69.3481254988,34.3571488741,100.0,65.6428511259,..,..,..
