,,,Estimates,,,,,,Rank,,,,,
Time,Country Name,Lookup,Control of Corruption: Estimate [CC.EST],Government Effectiveness: Estimate [GE.EST],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Regulatory Quality: Estimate [RQ.EST],Rule of Law: Estimate [RL.EST],Voice and Accountability: Estimate [VA.EST],Control of Corruption: Percentile Rank [CC.PER.RNK],Government Effectiveness: Percentile Rank [GE.PER.RNK],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],Voice and Accountability: Percentile Rank [VA.PER.RNK]
1998.0,Afghanistan,1998_Afghanistan,-1.83626458269795,-2.24097768915702,-2.5659125005505,-2.15550592114961,-1.73855018994157,-2.03916845565271,0.48780487804878,0.0,0.480769230769231,1.96078431372549,1.91387559808612,0.480769230769231
1998.0,Albania,1998_Albania,-1.00859111869961,-0.691084685130298,-0.660371061600445,-0.186577356638913,-1.20273257440127,-0.454046108553328,13.6585365853659,24.8780487804878,25.0,44.1176470588235,11.0047846889952,36.0576923076923
1998.0,Azerbaijan,1998_Azerbaijan,-1.12488073075859,-0.973501244940724,-0.829086846039886,-0.947893768317341,-1.08937272780915,-1.00277773176179,8.29268292682927,14.6341463414634,19.7115384615385,15.6862745098039,15.7894736842105,18.75
1998.0,Burkina Faso,1998_Burkina Faso,-0.24310224431578,-0.749521898627832,-0.20007287334078,-0.394874379911844,-0.845336572806155,-0.574675500446559,46.8292682926829,22.9268292682927,37.9807692307692,34.3137254901961,22.0095693779904,32.6923076923077
1998.0,Central African Republic,1998_Central African Republic,-0.997215606377512,-1.31138480199502,-1.2907560260184,-0.883447176657209,-1.46128020396556,-0.754804388572649,14.1463414634146,6.82926829268293,11.5384615384615,18.6274509803922,6.2200956937799,26.9230769230769
1998.0,Chad,1998_Chad,-0.941718137721433,-0.631713830666694,-1.40978931963674,-0.934925461088655,-1.1379373274552,-1.05081146309659,16.5853658536585,27.8048780487805,10.0961538461538,16.6666666666667,12.4401913875598,16.8269230769231
1998.0,Democratic Republic of Congo,1998_Democratic Republic of Congo,-1.89954665946238,-1.97405520499125,-2.99474939621278,-2.4127314722161,-2.20535945112696,-1.87997098303498,0.0,1.95121951219512,0.0,0.490196078431373,0.478468899521531,2.40384615384615
1998.0,Republic of the Congo,1998_Republic of the Congo,-1.1335867704199,-1.18911901985619,-1.60277494758017,-1.21996231134352,-1.7076239562561,-1.59006890448038,7.80487804878049,9.75609756097561,8.17307692307692,11.2745098039216,2.39234449760766,5.28846153846154
1998.0,Cameroon,1998_Cameroon,-1.04015669920049,-0.737535587488064,-0.824816894798012,-0.63709273437293,-1.11522910539371,-1.13727769280743,11.219512195122,23.4146341463415,20.6730769230769,24.5098039215686,14.3540669856459,13.9423076923077
1998.0,Equatorial Guinea,1998_Equatorial Guinea,-1.21120667234444,-1.45582995871165,-0.216439073608021,-1.66246611533285,-1.44304548029621,-1.57340420024647,4.8780487804878,4.8780487804878,37.0192307692308,6.37254901960784,7.17703349282297,6.73076923076923
1998.0,Gabon,1998_Gabon,-0.874949125334444,-0.593511332829713,0.176161885094388,0.141296966112666,-0.340334758872225,-0.407723943939464,20.9756097560976,29.7560975609756,50.9615384615385,55.3921568627451,40.1913875598086,36.5384615384615
1998.0,Ghana,1998_Ghana,-0.171881661736337,-0.140903884376199,-0.239072895649117,-0.245883962526612,-0.435928353338476,-0.364357778508187,53.6585365853659,50.2439024390244,35.5769230769231,38.2352941176471,35.8851674641148,37.9807692307692
1998.0,Guatemala,1998_Guatemala,-0.845809181645759,-0.419026519862678,-0.771847205891907,0.0940267222280508,-1.13282493190356,-0.280621120377674,23.9024390243902,40.0,21.6346153846154,54.4117647058824,13.3971291866029,41.8269230769231
1998.0,Guinea,1998_Guinea,-0.726588878580181,-0.798960342700186,-0.692673194159147,-0.510573875357741,-1.27104615608034,-1.19053325585923,27.8048780487805,21.4634146341463,24.0384615384615,27.4509803921569,10.0478468899522,12.9807692307692
1998.0,Indonesia,1998_Indonesia,-1.08210973422603,-0.596055865309335,-1.76889320506128,-0.264186268855556,-0.719329727923914,-1.03643658994594,9.75609756097561,29.2682926829268,6.25,36.7647058823529,27.2727272727273,17.3076923076923
1998.0,Iraq,1998_Iraq,-1.25093464981113,-1.86535025893624,-1.59714039267804,-2.16594721114008,-1.4850984726627,-1.92334732523935,3.90243902439024,2.4390243902439,8.65384615384615,1.47058823529412,5.26315789473684,1.92307692307692
1998.0,Kazakhstan,1998_Kazakhstan,-0.940303371780633,-0.820931488770457,0.0548114229780817,-0.368455181964001,-1.07108806028324,-0.736273262024336,17.0731707317073,20.0,47.5961538461538,34.8039215686275,16.2679425837321,27.8846153846154
1998.0,Kyrgyz Republic,1998_Kyrgyz Republic,-0.482431298851168,-0.126188665081005,-0.297561718519006,-0.0704118278875364,-0.740837036631492,-0.81506406833019,38.5365853658537,51.219512195122,32.2115384615385,50.9803921568627,26.3157894736842,25.0
1998.0,Liberia,1998_Liberia,-1.72973387884994,-1.98200484397006,-1.84302677942851,-2.11230980332672,-2.11140922264046,-1.02244890816541,1.95121951219512,1.46341463414634,5.76923076923077,2.94117647058824,0.956937799043062,18.2692307692308
1998.0,Madagascar,1998_Madagascar,-0.547615218593963,-0.825085234808368,0.08807122974227,-0.822091267749268,-0.577601004404497,0.110093331308092,35.609756097561,19.5121951219512,48.5576923076923,20.5882352941176,32.5358851674641,52.4038461538462
